Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.02017708505081793,-27.89017621927618,86.67391609486562
1006.931668851806,0.02038273212780734,-27.83825513853333,86.66317470912969
1013.91138573668,0.02029054867565015,-27.76685516551247,86.64897604585997
1020.939483707681,0.019819552629521,-27.7151023916824,86.63279105743591
1028.016298126475,0.02006663265818245,-27.65077149145841,86.62374839525162
1035.142166679345,0.01960593855331345,-27.60212921317987,86.61455163361939
1042.317429393305,0.02005312309377788,-27.52795557723086,86.58044466856151
1049.542428652323,0.02040537598605455,-27.46497546779093,86.56082182904893
1056.81750921366,0.01968295772976135,-27.41387623428126,86.54934023485146
1064.143018224318,0.02037007186958891,-27.35494103236639,86.46885013584352
1071.519305237607,0.01949265954427279,-27.29471733980988,86.5351238817193
1078.94672222983,0.02014283325047598,-27.23636050056413,86.47677089079478
1086.425623617067,0.02081316209909936,-27.17551651053433,86.44805027153927
1093.956366272095,0.01991287194571824,-27.11806602834638,86.40110790162004
1101.539309541416,0.01991494388793343,-27.05189539843537,86.45057887887388
1109.174815262402,0.01988225883123174,-26.99855764804062,86.42974448441355
1116.863247780562,0.01988085327548117,-26.93742893223702,86.39452833237215
1124.604973966928,0.01996873010646421,-26.87688871990762,86.36086340486473
1132.400363235558,0.01950675863937773,-26.81724273171538,86.35582759864468
1140.24978756117,0.02065639752711755,-26.75526614931037,86.34083050779132
1148.153621496884,0.02063838305608615,-26.70765526098536,86.31989601893542
1156.1122421921,0.02012973450873746,-26.64337524196136,86.28757421468373
1164.126029410492,0.02025962843330708,-26.58565181997309,86.23121887957615
1172.195365548132,0.01995639888630568,-26.52459728574388,86.23481114852569
1180.320635651731,0.01943919816625306,-26.46533733374087,86.28108170787618
1188.50222743702,0.02026820655376189,-26.40272519124947,86.21974431291508
1196.740531307244,0.01976627162099127,-26.3389660283045,86.2121619628137
1205.035940371799,0.01971321248178731,-26.28154280699869,86.21664730999601
1213.388850464979,0.0198593977138883,-26.22330934249474,86.14801019764262
1221.799660164874,0.02016750955654792,-26.16871985579125,86.15131020656601
1230.268770812382,0.01970248820357319,-26.10315094733126,86.13190771391106
1238.79658653037,0.0195879031215181,-26.04414819379148,86.08591010368845
1247.383514242945,0.02010966248943335,-25.98581927908843,86.09819189624331
1256.029963694877,0.0200185613081092,-25.92790645426228,86.04576322803439
1264.736347471152,0.01926174318050924,-25.86967216721444,86.03547871714156
1273.503081016663,0.01967648380251398,-25.80764127231409,86.04374061854071
1282.330582656023,0.0200339402403167,-25.75210972054334,86.03860410331026
1291.219273613536,0.01997981416389712,-25.69030959287742,85.98837617080613
1300.169578033291,0.02008166660950026,-25.6394405414247,85.99140511982786
1309.181922999408,0.02031422900247812,-25.57509936652504,85.9248425085807
1318.256738556409,0.01934460146311188,-25.51745364359226,85.95468594554765
1327.394457729741,0.01961148727005001,-25.46349800604652,85.92006119720337
1336.595516546443,0.01948430605479401,-25.39488414486125,85.88738375513772
1345.86035405595,0.01984270595124821,-25.33961467987428,85.8744201497417
1355.189412351038,0.02004614032580357,-25.28558664253333,85.82103288418786
1364.583136588927,0.01944499872676903,-25.21609660971118,85.83436282830769
1374.041975012516,0.01931619671261084,-25.16363255539728,85.84570723915121
1383.566378971783,0.01972717880231732,-25.113762853673,85.7895613965083
1393.156802945305,0.01929284852488254,-25.05418849234868,85.76884784449669
1402.81370456196,0.01958039403132075,-24.98963544283257,85.73673613149944
1412.537544622755,0.01966289440611433,-24.93310405023091,85.72853759062852
1422.328787122821,0.01942691875838867,-24.87889878846207,85.69070287740882
1432.187899273545,0.0190181477373801,-24.81929835984015,85.67217780549322
1442.115351524871,0.0190438712037613,-24.76119107660454,85.66705529384751
1452.111617587743,0.01920429228300377,-24.70450110225216,85.60521339591024
1462.17717445672,0.01876417352192938,-24.6440198577969,85.59142939949515
1472.312502432721,0.01982993055790111,-24.58548986736873,85.55284901321743
1482.518085145956,0.01952643190857098,-24.52371146035959,85.56907343685559
1492.794409578997,0.01960175277179472,-24.46556631130267,85.51123006792807
1503.141966090022,0.01834487237475822,-24.40708878930301,85.48675747444216
1513.56124843621,0.01945020137654626,-24.34869026635406,85.457111050843
1524.052753797292,0.01899119970961746,-24.29032629221602,85.43581869842876
1534.616982799296,0.01930813304973036,-24.22424439447995,85.42988288416279
1545.254439538414,0.0190573901857437,-24.17019207868425,85.39553799853377
1555.965631605077,0.01923637856275261,-24.11240048184841,85.3845785240598
1566.75107010815,0.01883190742165236,-24.05219377089659,85.32997934896741
1577.61126969935,0.01916587107251064,-23.98872858259059,85.31706998903448
1588.546748597779,0.01874232316798397,-23.93365362562053,85.3134206344626
1599.558028614671,0.01855950161884385,-23.86859800852108,85.30566953919701
1610.645635178272,0.01916776344808058,-23.8130021378409,85.25817766208183
1621.810097358931,0.01851926970003464,-23.75261542519103,85.22443138226292
1633.051947894334,0.01912086541692214,-23.699304521497,85.20526508290158
1644.371723214932,0.01860379013146511,-23.63554833481149,85.18761682171117
1655.769963469529,0.01869816473121307,-23.57972843937995,85.16483489229208
1667.247212551064,0.01888812351017776,-23.51701678318431,85.14300013983251
1678.804018122561,0.01876769931804833,-23.45780652414199,85.12918264022959
1690.440931643265,0.01883236416897848,-23.39839991387728,85.03050555604185
1702.158508394952,0.01800873089512237,-23.33989604644004,85.03567136267725
1713.957307508427,0.01873806164539073,-23.27755234800806,85.01911989216569
1725.837891990204,0.01895637277445955,-23.21759714452467,85.0155001384037
