Time (s),Channel 2 (V)
2.562099990999909e-05,1.953349256434662
2.565099990999911e-05,1.953349256434662
2.56809999099991e-05,1.954680842901924
2.57109999099991e-05,1.954680842901924
2.57409999099991e-05,1.954347946285108
2.57709999099991e-05,1.954347946285108
2.58009999099991e-05,1.955013739518739
2.583099990999909e-05,1.954347946285108
2.586099990999911e-05,1.955346636135555
2.58909999099991e-05,1.955346636135555
2.59209999099991e-05,1.95567953275237
2.59509999099991e-05,1.955346636135555
2.59809999099991e-05,1.956012429369186
2.60109999099991e-05,1.956345325986001
2.604099990999909e-05,1.956012429369186
2.607099990999911e-05,1.956012429369186
2.61009999099991e-05,1.956012429369186
2.61309999099991e-05,1.957011119219632
2.61609999099991e-05,1.957344015836448
2.61909999099991e-05,1.956012429369186
2.62209999099991e-05,1.957676912453263
2.625099990999909e-05,1.956678222602817
2.628099990999911e-05,1.957344015836448
2.63109999099991e-05,1.957344015836448
2.63409999099991e-05,1.956345325986001
2.63709999099991e-05,1.957676912453263
2.64009999099991e-05,1.957676912453263
2.64309999099991e-05,1.957344015836448
2.646099990999909e-05,1.957011119219632
2.64909999099991e-05,1.95867560230371
2.65209999099991e-05,1.958342705686894
2.65509999099991e-05,1.959008498920525
2.65809999099991e-05,1.957676912453263
2.66109999099991e-05,1.95867560230371
2.664099990999909e-05,1.95934139553734
2.667099990999911e-05,1.959674292154156
2.67009999099991e-05,1.95934139553734
2.67309999099991e-05,1.95934139553734
2.67609999099991e-05,1.959008498920525
2.67909999099991e-05,1.960340085387787
2.68209999099991e-05,1.95934139553734
2.685099990999909e-05,1.960007188770972
2.688099990999911e-05,1.960340085387787
2.69109999099991e-05,1.95934139553734
2.69409999099991e-05,1.95934139553734
2.69709999099991e-05,1.960672982004602
2.70009999099991e-05,1.960007188770972
2.70309999099991e-05,1.961005878621418
2.706099990999909e-05,1.960340085387787
2.709099990999911e-05,1.960007188770972
2.71209999099991e-05,1.961338775238233
2.71509999099991e-05,1.961338775238233
2.71809999099991e-05,1.961671671855049
2.72109999099991e-05,1.960672982004602
2.72409999099991e-05,1.961338775238233
2.727099990999909e-05,1.960672982004602
2.730099990999911e-05,1.961671671855049
2.73309999099991e-05,1.961671671855049
2.73609999099991e-05,1.961005878621418
2.73909999099991e-05,1.962670361705495
2.74209999099991e-05,1.961671671855049
2.74509999099991e-05,1.96233746508868
2.748099990999909e-05,1.963003258322311
2.751099990999911e-05,1.962670361705495
2.75409999099991e-05,1.963669051555942
2.75709999099991e-05,1.962670361705495
2.76009999099991e-05,1.963003258322311
2.76309999099991e-05,1.964334844789573
2.76609999099991e-05,1.963669051555942
2.769099990999909e-05,1.963669051555942
2.77209999099991e-05,1.963669051555942
2.77509999099991e-05,1.963669051555942
2.77809999099991e-05,1.964334844789573
2.78109999099991e-05,1.964001948172757
2.78409999099991e-05,1.964334844789573
2.787099990999909e-05,1.963669051555942
2.790099990999909e-05,1.964334844789573
2.79309999099991e-05,1.964667741406388
2.79609999099991e-05,1.965000638023204
2.79909999099991e-05,1.964667741406388
2.80209999099991e-05,1.964334844789573
2.80509999099991e-05,1.965333534640019
2.808099990999909e-05,1.964001948172757
2.811099990999911e-05,1.965000638023204
2.81409999099991e-05,1.964667741406388
2.81709999099991e-05,1.965333534640019
2.82009999099991e-05,1.965000638023204
2.82309999099991e-05,1.965666431256835
2.82609999099991e-05,1.965333534640019
2.829099990999909e-05,1.965333534640019
2.832099990999911e-05,1.966332224490466
2.83509999099991e-05,1.965666431256835
2.83809999099991e-05,1.965666431256835
2.84109999099991e-05,1.965666431256835
2.84409999099991e-05,1.965333534640019
2.84709999099991e-05,1.965666431256835
2.850099990999909e-05,1.966332224490466
2.853099990999911e-05,1.965666431256835
2.85609999099991e-05,1.966665121107281
2.85909999099991e-05,1.966665121107281
2.86209999099991e-05,1.967330914340912
2.86509999099991e-05,1.967663810957727
2.86809999099991e-05,1.966332224490466
2.871099990999909e-05,1.967330914340912
2.874099990999911e-05,1.967330914340912
2.87709999099991e-05,1.967330914340912
2.88009999099991e-05,1.967996707574543
2.88309999099991e-05,1.967663810957727
2.88609999099991e-05,1.967663810957727
2.88909999099991e-05,1.967663810957727
2.892099990999909e-05,1.967663810957727
2.89509999099991e-05,1.967330914340912
2.89809999099991e-05,1.968662500808174
2.90109999099991e-05,1.967663810957727
2.90409999099991e-05,1.968995397424989
2.90709999099991e-05,1.968329604191358
2.910099990999909e-05,1.968329604191358
2.913099990999909e-05,1.968329604191358
2.91609999099991e-05,1.968329604191358
2.91909999099991e-05,1.968995397424989
2.92209999099991e-05,1.968662500808174
2.92509999099991e-05,1.969328294041805
2.92809999099991e-05,1.969328294041805
2.931099990999909e-05,1.969328294041805
2.934099990999911e-05,1.968995397424989
2.93709999099991e-05,1.968995397424989
2.94009999099991e-05,1.969328294041805
2.94309999099991e-05,1.969994087275436
2.94609999099991e-05,1.970326983892251
2.94909999099991e-05,1.969328294041805
2.952099990999909e-05,1.969328294041805
2.955099990999911e-05,1.970659880509067
2.95809999099991e-05,1.970326983892251
2.96109999099991e-05,1.970326983892251
2.96409999099991e-05,1.970326983892251
2.96709999099991e-05,1.970326983892251
2.97009999099991e-05,1.969994087275436
2.973099990999909e-05,1.970326983892251
2.976099990999911e-05,1.970659880509067
2.97909999099991e-05,1.971325673742698
2.98209999099991e-05,1.970659880509067
2.98509999099991e-05,1.970992777125882
2.98809999099991e-05,1.970326983892251
2.99109999099991e-05,1.970659880509067
2.994099990999909e-05,1.971658570359513
2.997099990999911e-05,1.970992777125882
3.00009999099991e-05,1.971325673742698
3.00309999099991e-05,1.970992777125882
3.00609999099991e-05,1.971325673742698
3.00909999099991e-05,1.971658570359513
3.01209999099991e-05,1.971325673742698
3.015099990999909e-05,1.971325673742698
3.01809999099991e-05,1.970992777125882
3.02109999099991e-05,1.970992777125882
3.02409999099991e-05,1.973323053443591
3.02709999099991e-05,1.97265726020996
3.03009999099991e-05,1.971325673742698
3.03309999099991e-05,1.97265726020996
3.036099990999909e-05,1.972324363593144
3.03909999099991e-05,1.972324363593144
3.04209999099991e-05,1.972324363593144
3.04509999099991e-05,1.972324363593144
3.04809999099991e-05,1.97265726020996
3.05109999099991e-05,1.973323053443591
3.054099990999909e-05,1.972990156826775
3.057099990999911e-05,1.972990156826775
3.06009999099991e-05,1.973323053443591
3.06309999099991e-05,1.972990156826775
3.06609999099991e-05,1.973988846677222
3.06909999099991e-05,1.973323053443591
3.07209999099991e-05,1.973988846677222
3.075099990999909e-05,1.972990156826775
3.078099990999911e-05,1.972990156826775
3.08109999099991e-05,1.973323053443591
3.08409999099991e-05,1.975320433144483
3.08709999099991e-05,1.974321743294037
3.09009999099991e-05,1.973323053443591
3.09309999099991e-05,1.975320433144483
3.096099990999909e-05,1.973988846677222
3.099099990999911e-05,1.974987536527668
3.10209999099991e-05,1.974987536527668
3.10509999099991e-05,1.974987536527668
3.10809999099991e-05,1.974654639910852
3.11109999099991e-05,1.974654639910852
3.11409999099991e-05,1.974321743294037
